
1	0.01873	-2.7025
1.28835	0.01906	-1.43842
1.65985	0.01946	-0.44721
2.13847	0.02005	0.83759
2.7551	0.02096	2.03424
3.54954	0.02202	3.24309
4.57305	0.02306	4.40503
5.8917	0.02418	5.46348
7.59057	0.02563	6.52788
9.77933	0.0275	7.22427
12.59921	0.02896	7.7847
16.23221	0.03126	8.26119
20.91279	0.03354	8.27772
26.94302	0.0363	8.08681
34.71208	0.03929	7.47261
44.72136	0.04214	6.56931
57.61683	0.04559	5.09203
74.23072	0.04927	3.05178
95.63525	0.05286	0.55827
123.21181	0.05664	-2.67134
158.74011	0.05982	-6.46577
204.51304	0.06286	-10.62437
263.48466	0.06513	-15.22126
339.46083	0.06711	-19.99822
437.34483	0.06792	-24.57359
563.45382	0.0684	-28.94627
725.92652	0.06791	-32.06653
935.24845	0.06726	-35.48569
1204.92865	0.05768	-23.84608
1552.37151	0.08236	-33.3096
2000	0.08179	157.37565
