
1	0.03733	-4.39171
1.28835	0.03794	-3.33157
1.65985	0.03875	-2.36041
2.13847	0.03996	-1.24563
2.7551	0.04179	-0.17794
3.54954	0.04326	0.9442
4.57305	0.04513	1.96
5.8917	0.04719	2.99479
7.59057	0.04974	3.93142
9.77933	0.05244	4.75885
12.59921	0.05524	5.47392
16.23221	0.05924	5.95267
20.91279	0.06341	6.27169
26.94302	0.06733	6.43596
34.71208	0.07226	6.35616
44.72136	0.07716	5.9964
57.61683	0.08303	5.3431
74.23072	0.08989	4.31896
95.63525	0.09649	2.91669
123.21181	0.10393	0.97032
158.74011	0.11179	-1.70145
204.51304	0.11968	-4.95806
263.48466	0.12704	-8.85492
339.46083	0.13412	-13.12402
437.34483	0.14107	-17.99967
563.45382	0.14746	-23.11359
725.92652	0.14982	-27.64936
935.24845	0.15098	-31.95784
1204.92865	0.1444	-29.4005

