
1	0.02744	-2.73752
1.28835	0.02718	-1.56514
1.65985	0.02768	-0.46085
2.13847	0.02864	0.77648
2.7551	0.02999	2.05414
3.54954	0.0313	3.25764
4.57305	0.03427	4.43698
5.8917	0.03442	5.56243
7.59057	0.03836	6.55011
9.77933	0.04086	7.30393
12.59921	0.0435	7.89392
16.23221	0.04682	8.34716
20.91279	0.0504	8.39317
26.94302	0.05431	8.09151
34.71208	0.05912	7.46342
44.72136	0.06375	6.35882
57.61683	0.06889	4.75594
74.23072	0.07438	2.83747
95.63525	0.08	0.2257
123.21181	0.08635	-2.99241
158.74011	0.09086	-6.80451
204.51304	0.09488	-10.97915
263.48466	0.09781	-15.58757
339.46083	0.09985	-20.42078
437.34483	0.10108	-24.8786
563.45382	0.10255	-29.05694
725.92652	0.1028	-32.60225
935.24845	0.10222	-35.5798
1204.92865	0.08821	-28.22592
1552.37151	0.11184	-33.16809
2000	0.11131	335.08148
