1        0.04046        -4.29146
1.28835        0.04212        -3.23603
1.65985        0.04228        -2.24817
2.13847        0.04314        -1.17125
2.7551        0.04448        -0.047
3.54954        0.0462        1.02969
4.57305        0.04821        2.0684
5.8917        0.05437        3.10153
7.59057        0.05732        4.03257
9.77933        0.06019        4.84275
12.59921        0.06457        5.5033
16.23221        0.06951        6.02992
20.91279        0.07424        6.35366
26.94302        0.07891        6.48478
34.71208        0.08496        6.36667
44.72136        0.09111        5.97431
57.61683        0.09779        5.30806
74.23072        0.10473        4.31798
95.63525        0.11241        2.87313
123.21181        0.12155        0.84963
158.74011        0.13053        -1.79093
204.51304        0.14124        -5.02257
263.48466        0.15003        -8.87003
339.46083        0.15862        -13.30486
437.34483        0.16648        -17.99627
563.45382        0.172        -22.9278
725.92652        0.1737        -27.39378
935.24845        0.17619        -31.66314
1204.92865        0.16833        -29.36308
1552.37151        0.19039        -32.20312
