1	1,20838E-7	-3
1,28835	4,25233E-6	-3,35373
1,65985	3,89637E-6	-2,40314
2,13847	3,55539E-6	-1,35754
2,7551	3,24594E-6	-0,2917
3,54954	2,97987E-6	0,77927
4,57305	2,73309E-6	1,84221
5,8917	2,49129E-6	2,93862
7,59057	2,38576E-6	3,77779
9,77933	2,18356E-6	4,68339
12,59921	2,00423E-6	5,37727
16,23221	1,84597E-6	5,90698
20,91279	1,69933E-6	6,29042
26,94302	1,53868E-6	6,50877
34,71208	1,42548E-6	6,49053
44,72136	1,33412E-6	6,19277
57,61683	1,26449E-6	5,57626
74,23072	1,21216E-6	4,57663
95,63525	1,18713E-6	3,20475
123,21181	1,20224E-6	1,22502
158,74011	1,28574E-6	-1,43856
204,51304	1,5267E-6	-4,62109
263,48466	2,39829E-6	-8,60878
339,46083	-5,97731E-5	-12,75895
437,34483	-1,30698E-6	-17,68305
563,45382	-4,8341E-7	-22,72462
725,92652	-2,29119E-7	-27,31977
935,24845	-1,19227E-7	-31,48413
1204,92865	-5,94249E-8	-27,62266
1552,37151	-4,05177E-8	-32,17206
2000	-2,20444E-8	-26
