
1	0.03828	-2.77203
1.28835	0.03919	-1.54464
1.65985	0.04	-0.40617
2.13847	0.04172	0.84194
2.7551	0.04328	2.10774
3.54954	0.04552	3.28982
4.57305	0.04792	4.43862
5.8917	0.0504	5.58574
7.59057	0.05352	6.48392
9.77933	0.05698	7.25328
12.59921	0.06064	7.80557
16.23221	0.06573	8.14601
20.91279	0.07057	8.13182
26.94302	0.07572	7.8319
34.71208	0.08238	7.18517
44.72136	0.08835	6.09569
57.61683	0.09616	4.50038
74.23072	0.10403	2.33917
95.63525	0.11232	-0.46211
123.21181	0.12344	-3.74937
158.74011	0.12973	-7.5399
204.51304	0.13641	-11.74932
263.48466	0.14011	-16.39689
339.46083	0.13844	-21.01842
437.34483	0.145	-25.2919
563.45382	0.1407	-29.45335
725.92652	0.13982	-32.94165
935.24845	0.13938	-35.8038
1204.92865	0.1296	-31.28238
1552.37151	0.15291	-33.98109
2000	0.15711	334.8722
