1	3,488E-5	27,0962
1,28835	6,84372E-5	14,54099
1,65985	5,208E-5	0,34435
2,13847	7,45668E-5	1,61625
2,7551	6,05807E-5	-12,92911
3,54954	6,36147E-5	29,27048
4,57305	1,0079E-4	17,7098
5,8917	6,76622E-5	10,69847
7,59057	1,12249E-4	-0,80529
9,77933	1,13719E-4	-1,5643
12,59921	9,22757E-5	3,93547
16,23221	1,19651E-4	-4,16212
20,91279	9,68033E-5	-11,63919
26,94302	1,09128E-4	-23,81469
34,71208	1,21971E-4	-35,61299
44,72136	1,75516E-4	18,6887
57,61683	1,62588E-4	17,77948
74,23072	1,35583E-4	-9,70732
95,63525	1,48954E-4	-40,54271
123,21181	2,16001E-4	-55,20145
158,74011	2,28124E-4	-95,92638
204,51304	2,72717E-4	-27,16867
263,48466	4,87413E-4	3,75637
339,46083	3,98585E-4	-22,54779
437,34483	4,21343E-4	-3,62988
563,45382	6,22357E-4	-14,33167
725,92652	0,00101	27,04797
935,24845	8,72945E-4	-25,31499
1204,92865	0,0158	94,6839
1552,37151	0,01773	-27,47923
2000	0,02085	-2,72403
